Species_Name
Great Blue Heron

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,17,0.4722,,
VISJ,"St. John, USVI",18.3502,-64.7000,7,0.2154,,
VIST,"St. Thomas, USVI",18.3500,-64.9333,7,0.4667,,
RDSD,"Santo Domingo, Dominican Republic",18.3500,-70.2500,6,0.1224,,
TC01,"Grand Turk Island, Turks and Caicos, B.W.I.",21.4500,-71.1333,3,0.1429,,
CR03,"Lower Zona Protectora, Heredia, Costa Rica",10.3667,-84.0500,2,0.0170,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,2,0.0556,,
BA02,"Governors Harbour, Eleuthera Island, Bahamas",25.2167,-76.2500,2,0.1333,,
WITP,Trempealeau,44.0134,-91.4311,1,0.0152,,
WIFA,Fort Atkinson,42.9021,-88.8273,1,0.0417,,
WISC,Sauk City,43.2668,-89.8501,cw,0.0000,,

