Species_Name
Great Blue Heron

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,39,0.5571,,
PRCR,Cabo Rojo,18.0133,-67.1176,26,0.9455,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,16,0.2560,,
VISJ,"St. John, USVI",18.3502,-64.7000,8,0.1546,,
VIST,"St. Thomas, USVI",18.3500,-64.9333,7,0.5600,,
VITO,"Tortola, British V.I.",18.3502,-64.6167,6,0.1071,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,4,0.0206,,
HOLA,"Lancetilla, Honduras",15.7667,-87.4500,4,0.1159,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,3,0.0250,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,2,0.0357,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,2,0.0412,,
RDSD,"Santo Domingo, Dominican Republic",18.3500,-70.2500,1,0.0465,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,1,0.0117,,

