Species_Name
Great Blue Heron

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
VISJ,"St. John, USVI",18.3502,-64.7000,13,0.2905,,
VIST,"St. Thomas, USVI",18.3500,-64.9333,4,0.2222,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,2,0.0280,,
CRSC,"Sirena Station, Corcovado N.P., Costa Rica",8.4800,-83.5895,1,0.0204,,
MXUY,"Uxmal, Yucatan, Mexico",20.4500,-89.7500,1,0.0500,,
WIOC,Oconomowoc,43.1360,-88.4997,1,0.0345,,
WIRI,Richland Center,43.2744,-90.3604,1,0.0085,,
WITL,Three Lakes,45.7975,-89.0482,1,0.0606,,
WITP,Trempealeau,44.0134,-91.4311,1,0.0106,,
WIMT,Manitowoc,44.0228,-87.7557,1,0.0345,,
WIWN,"Hales Corners, Wehr Nature Center",42.9252,-88.0361,cw,0.0000,,

