Species_Name
Great Blue Heron

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,190,1.6102,,
FLJA,Jacksonville,30.4152,-81.4877,120,1.3793,,
NCWI,Wilmington,34.1401,-77.8936,92,0.8160,,
OREU,Eugene,44.0768,-123.1790,90,0.4225,,
CAOC,Orange County (coastal),33.6725,-117.9453,74,0.2279,,
FLFP,Fort Pierce,27.4177,-80.3828,68,0.8144,,
CASD,San Diego,32.6473,-117.1170,63,0.2407,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,61,0.9004,"HC, ",
WASE,Seattle,47.6017,-122.3341,56,0.2196,,
CASB,Santa Barbara,34.4512,-119.7627,44,0.1264,"HC, ",
BLBC,"Belize City, Belize",17.6052,-88.3889,35,0.5645,,
CALB,Long Beach-el Dorado,33.8533,-118.0908,32,0.3274,,
TOSB,"Scarborough Botanics, Western Tobago, Tobago",11.1840,-60.7342,14,1.7500,,
NMRO,Roswell,33.3970,-104.3983,12,0.2174,,
PRAR,Arecibo,18.2552,-66.6000,11,0.1513,,
ORMA,Malheur N.W.R.,42.8998,-118.8798,10,0.3125,,
CALA,Los Angeles,34.0477,-118.3793,9,0.0615,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,9,0.1098,,
UTSL,Salt Lake City,40.7695,-111.8884,6,0.0377,,
WIMI,Milwaukee,43.1041,-87.9169,6,0.0630,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,6,0.0247,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,5,0.0877,,
VISJ,"St. John, USVI",18.3502,-64.7000,5,0.0893,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,4,0.0541,,
PRCR,Cabo Rojo,18.0133,-67.1176,4,0.0775,LC,
PRFA,Fajardo,18.3162,-65.6957,4,0.0726,,
OKCH,Chickasaw N.R.A.,34.4565,-96.9960,3,0.1875,,
AZSC,Santa Catalina Mountains,32.3353,-110.7295,3,0.0290,,
BLBE,"Belmopan, Belize",17.1461,-88.7292,3,0.0345,,
WIRE,Newburg--Riveredge Nature Center,43.4069,-87.9957,3,0.0171,,
WIMT,Manitowoc,44.0228,-87.7557,2,0.0667,,
RDSB,"Salinas-Bani, Dominican Republic",18.2151,-70.5153,2,0.4000,,
TRTR,Trinidad,10.6336,-61.3390,2,0.0513,,
CAYO,Yosemite N.P.,37.7166,-119.6662,2,0.0482,,
CRRF,"Rainforest Adventures Atlantic, Costa Rica",10.1202,-83.5125,2,0.0083,,
CRMO,"Monteverde, Costa Rica",10.2999,-84.7667,1,0.0062,,
MEBF,North Penobscot Bay,44.5073,-68.9418,1,0.0129,,
MXCX,"Cuenca Cuxtepec, Chiapas, Mexico",15.4403,-92.2741,1,0.1667,,
NBIL,Ile Lameque,47.8117,-64.6250,1,0.0313,,
NBSH,Shediac,46.2723,-64.5754,1,0.0161,,
NSEC,Economy,45.3847,-63.9144,1,0.0431,,
NDVC,Valley City,46.9333,-98.0000,1,0.0270,,
UTES,Grand Staircase-Escalante N.M.,37.7422,-111.6772,1,0.0226,"US, HC, ",
WICK,Cooksville,42.8348,-89.2408,1,0.0175,,
WIKC,Kenosha County,42.5895,-87.9345,1,0.0588,,
WILG,Lake Geneva,42.5833,-88.5000,1,0.0226,,
WISB,Sturgeon Bay,44.8935,-87.2876,1,0.1000,,
TODF,"Delaford, Eastern Tobago, Tobago",11.2686,-60.5465,1,0.1111,,
ONPR,Peach Tree,43.1462,-79.6710,cw,0.0000,,
QCNT,Neuville-Tilly,46.6802,-71.5769,cw,0.0000,,
GMAN,"Antigua, Guatemala",14.5441,-90.7594,cw,0.0000,,

