Species_Name
Great Blue Heron

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLJA,Jacksonville,30.4152,-81.4877,200,2.3952,,
FLCO,Cocoa,28.3622,-80.7026,195,2.0313,,
NCWI,Wilmington,34.1401,-77.8936,159,1.4688,"HC, ",
WAOL,Olympia,47.0722,-122.8533,158,0.9122,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,125,1.5432,,
CAOC,Orange County (coastal),33.6725,-117.9453,85,0.3088,,
CASD,San Diego,32.6473,-117.1170,80,0.2301,,
WASE,Seattle,47.6017,-122.3341,68,0.2165,,
MXVM,"Vado de Meoqui, Chihuahua, Mexico",28.2627,-105.4781,68,4.5333,,
CASJ,San Jose,37.4033,-121.8821,52,0.1354,"HC, ",
MXSC,"San Carlos, Sonora, Mexico",28.0389,-110.9377,35,1.8421,"HC, ",
BCCO,Comox,49.6726,-124.9287,33,0.3539,,
CASB,Santa Barbara,34.4512,-119.7627,32,0.1064,,
PRAR,Arecibo,18.2552,-66.6000,28,0.4602,,
NISN,"Sierritas de Managua, Conteo Navideño, Nicaragua",11.9514,-86.2401,25,1.0204,,
UTBR,Bear River Migratory Bird Refuge,41.4804,-112.2675,25,1.3889,,
MXQU,"Querétaro, Mexico",20.7707,-100.4498,21,1.1111,,
BLBC,"Belize City, Belize",17.6052,-88.3889,21,0.3652,,
MXES,"Ensenada, Baja California, Mexico",31.8002,-116.6335,21,0.2456,,
MXHE,"Hermosillo, Sonora, Mexico",29.0955,-110.9359,19,1.1875,,
MXHE,"Hermosillo, Sonora, Mexico",29.0955,-110.9359,19,1.1875,,
FLBT,Boca Raton,26.3532,-80.1790,18,1.8000,,
CASP,Springville,36.1338,-118.8130,18,0.3529,,
FLLK,Lower Keys-Key Deer N.W.R.,24.6667,-81.3500,13,1.8571,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,12,0.2254,,
AZCV,Camp Verde,34.5873,-111.7545,11,0.0458,,
WANB,Neah Bay,48.3558,-124.5998,11,0.2786,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,11,0.1528,,
NMRO,Roswell,33.3970,-104.3983,10,0.1991,,
CAKA,Kaweah,36.3667,-119.0667,9,0.2951,,
CTBR,Bristol,41.6718,-72.9495,7,0.0698,"HC, ",
TRTR,Trinidad,10.6336,-61.3390,7,0.1429,,
BAAO,"Abaco Island, Bahamas",26.0418,-77.2569,6,0.7500,,
WIWK,Waukesha,42.9740,-88.3553,5,0.0746,,
WIWL,Waterloo,43.0817,-89.0114,4,0.0539,"HC, ",verified
CACY,California City,35.1622,-117.8620,4,0.6667,,
BLBE,"Belmopan, Belize",17.1461,-88.7292,3,0.0316,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,3,0.0588,,
WIAP,Appleton,44.2618,-88.4158,3,0.0455,,
WIMI,Milwaukee,43.1041,-87.9169,3,0.0311,,
TODF,"Delaford, Eastern Tobago, Tobago",11.2686,-60.5465,3,0.4000,,
PRSJ,San Juan Bay Estuary,18.4300,-66.0348,3,0.0631,LC,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,3,0.0500,,
NMSM,Sandia Mountains,35.1631,-106.3475,2,0.0270,"US, ",aq
PRFA,Fajardo,18.3162,-65.6957,2,0.0443,LC,
WIBU,Burlington,42.7111,-88.2038,2,0.0420,,
WIBV,Blanchardville,42.7839,-89.8973,2,0.0593,,
KSST,St. Marys,39.1941,-96.0711,2,0.0388,,
MXCM,"Cumbres de Monterrey, Nuevo Leon, Mexico",25.4681,-100.2085,2,0.2857,,
MXIP,"Iznipala-Piaxtla, Acatitán, Sinaloa, Mexico",24.0890,-106.6500,2,0.1667,,
NBED,Edmundston,47.4595,-68.3258,2,0.0460,"US, ",
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,2,0.0076,LC,
WIMH,Mount Horeb,43.0011,-89.7603,2,0.0209,,
MXPC,"Pijijiapan, Chiapas, México",15.5566,-93.2143,2,0.5000,,
CRRF,"Rainforest Adventures Atlantic, Costa Rica",10.1202,-83.5125,1,0.0059,LC,
CAYO,Yosemite N.P.,37.7166,-119.6662,1,0.0162,,
AZSC,Santa Catalina Mountains,32.3353,-110.7295,1,0.0048,,
BCVF,Vanderhoof,54.0105,-123.9985,1,0.0645,,
MXSG,"San Miguel de Allende, Guanajuato, Mexico",20.9085,-100.7426,1,0.0833,,
MEWA,Waterville,44.5641,-69.6631,1,0.0157,,
BASC,"Staniard Creek, Andros Island, Bahamas",24.8322,-77.8875,1,0.1429,,
NVSH,Sheldon,41.8790,-119.0585,1,0.0133,,
NVSH,Sheldon,41.8790,-119.0585,1,0.0133,,
WICK,Cooksville,42.8348,-89.2408,1,0.0206,,
WILG,Lake Geneva,42.5833,-88.5000,1,0.0190,,
WIML,Montello,43.8780,-89.4051,1,0.0189,,
WIOS,Oshkosh,44.0324,-88.5825,1,0.0333,,
WIRE,Newburg--Riveredge Nature Center,43.4069,-87.9957,1,0.0096,,
WISB,Sturgeon Bay,44.8935,-87.2876,1,0.0156,,
NHEU,Errol-Umbagog,44.7811,-71.1379,1,0.0294,"HC, ",
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,1,0.0182,,
QCNT,Neuville-Tilly,46.6802,-71.5769,1,0.0159,"US, ",
RDSB,"Salinas-Bani, Dominican Republic",18.2151,-70.5153,1,0.0588,,
TOSB,"Scarborough Botanics, Western Tobago, Tobago",11.1840,-60.7342,1,0.1429,,
NSEC,Economy,45.3847,-63.9144,cw,0.0000,,
WITP,Trempealeau,44.0134,-91.4311,cw,0.0000,,
NBSJ,Saint John,45.3170,-66.1013,cw,0.0000,,

